Demographic variable,Response,Count,ees,mw_p,op_p,lm_p,mt_p,ld_p,if_p,rw_p,pb_p,lc_p,HSE_index,PERMA_index,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,C01_1,C01_2,C01_3,C01_4,D01,D02,D03,E01 [4],E02_01,E02_02,E02_03,E02_04,E02_05,E02_06,E02_07,E02_08,E02_09,E02_10,E02_11,E02_12,E02_13,E02_14,E02_15,E02_16,E02_17,E02_18,E02_19,E02_20,E03 [4],E03A_01,E03A_02,E03A_03,E03A_04,E03A_05,E03A_06,E03A_07,E03A_08,E03A_09,E03A_10,E03A_11,E03A_12,E03A_13,E03A_14,E03A_15,E03A_16,E03A_17,E04_01,E04_02,E04_03,E04_04,E04_05,E04_06,E04_07,E04_08,E04_09,E04_10,E04_11,E04_12,E05,E06_A,E06_B,E06_C,E06_D,W01,W02,W03,W04,J04B,W05,W07,W08
Z02,AO/AA,3331,59.451,60.956,79.159,68.263,74.97,51.372,72.085,72.081,31.892,46.756,32.198,66.765,79.363,69.175,66.556,37.282,52.553,78.018,80.294,70.974,81.528,75.558,63.967,73.888,77.878,65.251,65.282,66.837,41.451,83.654,77.524,63.713,60.866,48.962,52.335,43.308,75.083,82.04,59.193,72.072,63.912,76.218,85.194,69.581,67.68,69.922,28.228,38.457,28.949,61.587,57.293,48.841,48.465,38.954,36.118,58.346,29.065,42.238,57.336,57.126,42.702,50.542,48.467,38.792,24.737,87.166,56.838,66.897,64.331,73.896,52.014,62.364,10.334,13.619,26.574,49.473,82.245,57.543,63.969,16.241,15.926,11.481,22.593,7.222,15.926,2.778,23.148,3.704,2.037,29.074,8.148,2.037,2.778,6.667,21.296,6.481,13.333,18.519,18.519,5,14.655,17.623,14.344,36.68,35.861,2.459,46.311,46.107,21.926,42.828,38.115,22.951,6.352,3.893,12.91,24.18,15.574,1.434,49.897,9.856,30.185,28.337,1.027,1.232,1.437,0,4.723,1.643,3.08,8.214,46.901,17.782,43.182,60.788,40.969,46.393,50.348,43.894,33.505,51.49,57.749,14.243,68.932
Z02,EO,3604,62.463,71.454,82.024,71.852,81.205,58.474,77.623,73.466,37.506,51.083,29.222,70.397,86.619,77.623,74.631,49.235,69.056,80.367,83.685,73.827,85.571,81.621,67.843,77.722,81.667,70.876,67.847,71.015,40.411,86.583,83.449,73.548,65.186,55.738,59.788,53.155,81.2,85.694,68.325,75.306,67.583,75.007,84.789,72.045,66.954,74.417,35.859,44.111,32.5,66.213,60.595,54.217,53.115,39.167,38.628,62.841,35.649,49.18,62.771,63.104,50.639,55.265,52.513,44.914,33.602,87.007,67.899,69.727,67.195,76.598,58.899,67.28,8.384,12.869,29.192,49.554,90.631,63.524,67.785,15.425,18.116,13.043,25.725,9.42,17.029,2.355,28.442,4.529,2.899,25.543,9.783,1.993,1.812,5.435,19.203,8.696,19.746,16.486,13.949,5.797,13.619,16.598,10.041,32.787,36.27,1.025,40.984,46.516,24.385,40.369,40.164,25.41,7.172,6.762,16.189,20.082,19.467,1.639,52.147,9.816,32.106,28.834,3.476,2.045,1.227,1.227,4.09,3.476,2.454,4.703,44.672,14.345,44.536,66.803,40.826,51.397,56.308,48.95,37.014,56.156,60.927,12.109,74.589
Z02,SEO/HEO,5247,65.353,79.33,82.828,74.729,85.023,60.718,82.49,72.207,39.253,57.076,26.705,72.411,90.393,83.705,78.938,61.038,82.539,81.361,84.296,77.441,89.656,88.227,68.779,82.212,85.682,72.88,69.166,74.508,38.631,88.556,86.011,80.526,65.35,55.876,64.107,57.446,86.749,89.313,75.286,78.604,68.98,73.031,85.714,72.115,62.428,70.919,39.672,45.411,32.71,76.301,69.866,57.004,62.121,40.553,40.805,69.218,42.255,55.505,68.389,69.134,54.537,57.816,55.026,54.075,37.392,89.525,76.345,73.564,71.431,78.299,65.236,74.981,6.704,13.484,36.402,43.411,94.042,62.529,71.761,12.343,22.016,6.047,18.605,12.558,26.202,3.411,31.163,6.202,3.411,16.279,8.527,1.55,3.101,6.357,19.69,10.543,12.248,11.938,13.798,2.791,10.87,17.193,11.93,26.491,38.596,2.281,38.246,51.053,32.982,38.246,37.895,32.982,2.982,2.982,7.895,14.035,14.035,1.404,42.43,15.493,32.746,29.577,6.338,3.873,1.585,4.225,1.408,1.408,3.169,4.754,43.058,15.453,48.94,65.845,32.653,54.528,59.087,50.604,35.428,59.644,66.393,10.444,79.354
Z02,G6/7,2815,64.827,82.763,81.883,73.371,86.335,59.121,82.131,68.275,45.068,56.355,26.996,73.844,92.037,87.011,80.949,69.228,84.465,80.142,83.653,76.439,87.344,88.208,68.303,80.497,83.517,68.708,65.396,72.353,42.791,88.952,87.198,82.842,62.664,53.575,63.785,56.452,85.542,88.514,76.964,77.541,68.372,71.713,89.288,71.525,50.267,58.472,47.922,48.455,38.828,76.724,67.721,50.356,60.235,37.282,39.083,69.619,47.724,58.478,68.099,66.228,55.334,55.939,53.253,59.246,43.594,89.13,76.956,70.91,74.049,78.33,70.601,75.623,6.876,16.744,39.508,36.872,97.677,72.909,72.093,10.444,20.068,6.463,21.429,14.626,24.49,2.381,25.85,3.061,2.721,16.327,7.823,2.041,2.381,5.782,14.626,10.204,14.626,14.626,16.327,4.762,11.585,14.724,7.055,24.847,43.252,1.534,41.718,50.613,38.65,34.663,39.571,36.196,3.374,1.84,8.896,11.656,16.564,1.84,37.423,18.712,33.742,31.902,8.282,6.748,2.454,3.681,0.307,0.307,3.374,3.988,39.877,13.565,38.08,73.292,35.659,54.347,62.357,53.063,37.187,62.545,66.833,7.563,80.384
Z02,SCS,371,78.577,92.507,94.879,86.792,95.045,77.83,91.779,78.688,48.338,77.942,16.26,82.808,97.305,94.07,92.162,87.332,91.644,94.34,95.418,90.027,90.836,96.757,88.679,93.243,90.27,80.054,81.132,83.827,73.046,96.216,94.595,94.324,81.671,74.054,78.437,77.089,92.992,95.418,90.296,88.41,87.332,88.14,96.496,85.984,54.865,59.189,50.674,50.943,43.396,90.541,87.601,74.324,82.21,63.342,63.881,88.14,72.776,78.706,85.175,80.541,73.514,77.027,77.628,84.097,77.089,96.496,91.057,83.198,90.566,91.375,84.636,91.375,3.774,14.555,42.588,39.084,98.077,87.671,87.397,4.852,22.222,5.556,11.111,5.556,27.778,11.111,27.778,5.556,5.556,5.556,0,0,0,11.111,11.111,0,5.556,5.556,22.222,5.556,4.043,6.667,13.333,33.333,33.333,0,33.333,53.333,26.667,20,46.667,53.333,0,0,6.667,6.667,13.333,0,40,13.333,13.333,40,6.667,20,0,0,0,0,0,6.667,20,13.333,46.667,80,[c],68.392,81.199,66.485,43.052,82.385,79.133,3.533,90.515
H01,East Midlands (England),653,61.192,69.686,83.997,71.805,81.521,56.815,75.191,69.28,37.474,50.931,30.942,69.176,84.992,78.067,70.416,48.694,65.951,81.623,86.371,73.66,84.533,83.385,68.558,77.335,79.724,68.913,67.747,71.142,42.857,85.605,83.461,75.498,65.337,51.761,58.986,51.302,76.227,84.178,64.264,76.074,61.656,73.313,84.356,68.405,59.877,67.994,36.963,43.252,32.104,66.003,61.043,51.613,53.763,40.735,38.897,62.423,34.303,49.462,62.481,58.04,48.308,52.986,52.221,43.951,32.104,86.983,67.228,71.166,68.252,77.147,57.58,67.643,9.217,12.135,27.496,51.152,89.937,64.094,65.3,18.07,16.949,10.169,23.729,9.322,15.254,2.542,27.966,9.322,4.237,27.966,12.712,0.847,5.085,7.627,21.186,11.864,21.186,16.949,19.492,4.237,16.539,20.37,13.889,41.667,39.815,0,39.815,47.222,21.296,39.815,38.889,28.704,3.704,3.704,15.741,22.222,20.37,0.926,54.63,14.815,32.407,30.556,3.704,0,0,0.926,2.778,2.778,3.704,4.63,51.852,18.519,35.185,64.486,35.714,49.228,54.321,44.376,31.481,54.224,56.462,13.825,74.154
H01,East of England,498,64.678,73.976,79.819,70.413,80.991,54.719,77.46,71.914,35.743,50.655,28.756,71.881,88.554,81.124,77.309,52.209,70.683,78.514,81.087,72.032,84.708,81.414,65.462,77.309,79.317,68.952,67.409,68.548,38.755,85.743,82.53,74.699,60.04,50.402,57.831,50.602,79.92,84.507,68.813,76.506,67.671,76.861,87.55,70.08,61.847,67.47,34.94,40.161,32.129,66.801,62.575,51.815,54.125,40.644,35.614,61.46,36.546,47.082,67.606,57.948,56.942,53.924,52.918,44.869,32.53,89.96,68.273,71.227,68.41,76.506,56.25,68.826,7.056,12.097,28.831,52.016,86.382,64.826,71.605,15.121,25.333,10.667,20,9.333,26.667,1.333,17.333,4,4,21.333,10.667,5.333,5.333,9.333,22.667,5.333,10.667,14.667,25.333,6.667,13.454,22.388,10.448,40.299,29.851,1.493,44.776,46.269,25.373,40.299,38.806,31.343,7.463,2.985,14.925,20.896,11.94,0,44.776,5.97,31.343,29.851,2.985,2.985,4.478,0,2.985,0,4.478,5.97,37.313,15.152,39.394,66.667,52,52.41,59.557,52.823,43.574,57.43,60.643,13.655,76.66
H01,London,4584,64.202,77.817,80.657,72.984,83.646,58.217,80.431,70.604,37.014,56.461,27.396,71.888,89.657,81.389,77.78,60.856,79.306,78.682,82.646,76.211,86.978,86.592,66.273,80.437,84.024,70.385,67.09,72.805,38.972,87.658,84.699,78.61,63.327,52.845,62.73,53.806,84.573,87.702,74.164,75.311,70.02,72.33,87.618,73.684,56.874,63.043,38.362,40.638,32.001,76.408,68.874,53.094,61.774,40.219,39.576,68.94,44.294,54.677,66.805,66.069,51.475,55.631,52.63,56.365,37.692,88.51,73.644,69.926,70.938,76.098,66.361,74.688,8.107,19.566,43.449,28.878,94.06,60.822,69.059,10.813,24.341,6.085,21.907,21.095,25.761,2.637,34.483,8.722,1.217,17.85,8.114,0.609,2.84,4.868,15.619,15.822,10.345,12.576,13.59,4.057,11.249,15.759,10.7,25.486,43.969,3.696,43.774,54.669,38.716,38.911,37.16,35.214,3.891,1.751,8.949,13.424,13.424,2.14,38.402,15.984,37.427,32.359,5.458,5.848,1.559,3.704,1.949,0.78,2.729,4.678,44.444,14.8,44.773,69.216,35.242,51.844,58.566,49.846,33.092,60.28,68.061,9.36,77.931
H01,North East England,795,61.184,69.155,82.704,72.396,83.187,57.925,77.484,73.677,38.574,52.076,28.989,70.172,83.753,77.03,71.049,48.172,65.912,82.516,82.893,74.717,85.409,80.531,68.474,78.113,81.258,70.455,67.929,70.781,46.212,88.428,85.013,76.101,67.17,53.149,61.441,50.126,80.126,86.792,65.786,77.233,67.044,76.196,85.66,71.069,67.339,74.717,36.352,44.403,34.969,67.506,63.005,55.626,54.214,39.421,37.909,64.484,36.352,50.126,59.497,60.377,49.937,53.788,53.333,46.096,36.066,87.17,65.995,72.005,70.189,80.503,70.907,70.87,8.838,11.237,25.126,54.798,92.386,73.764,71.701,14.358,11.607,11.607,21.429,8.036,11.607,4.464,28.571,3.571,3.571,23.214,15.179,2.679,1.786,5.357,16.071,4.464,20.536,23.214,20.536,2.679,12.453,11.111,10.101,25.253,38.384,0,43.434,49.495,26.263,42.424,34.343,23.232,8.081,5.051,15.152,22.222,14.141,2.02,53.535,11.111,36.364,36.364,3.03,0,1.01,0,4.04,2.02,4.04,4.04,36.735,10.204,47.475,65.657,30.556,52.086,57.848,47.529,38.432,54.924,58.586,11.869,77.806
H01,North West England,1679,61.893,71.042,83.82,72.65,81.744,57.379,78.335,71.6,35.09,51.674,28.953,70.541,85.995,79.045,72.418,50.656,67.123,82.528,85.101,74.791,87.029,83.144,69.934,79.261,83.005,68.9,67.725,70.036,42.439,87.768,83.055,74.359,64.162,54.214,59.534,51.551,82.349,87.306,67.104,76.653,66.965,73.986,83.711,69.654,63.799,71.36,33.552,40.727,30.971,68.534,62.336,53.373,52.924,38.939,37.664,63.582,37.269,50.536,58.76,62.888,49.702,54.214,52.355,46.838,36.553,88.074,66.408,71.147,69.547,77.414,62.254,68.918,8.348,11.21,29.457,50.984,90.746,68,69.838,13.639,20.264,11.894,22.026,7.048,12.335,1.762,26.872,1.762,2.643,30.396,12.775,1.322,2.203,4.846,17.181,7.048,16.3,14.978,14.978,5.727,12.098,14.778,12.315,31.527,39.409,2.463,45.32,51.724,28.571,39.409,45.32,26.108,4.433,3.448,13.3,17.734,20.69,0.493,43.35,7.882,28.571,35.468,5.911,2.956,0,0.985,3.941,2.463,3.941,5.911,43.284,14.428,48.515,66.832,41.379,51.945,57.596,49.251,37.463,57.433,62.209,12.194,75.716
H01,South East England,1235,62.854,73.05,80.526,70.623,79.136,55.945,76.619,70.653,35.628,49.804,29.945,70.629,87.277,79.4,75.77,52.026,70.827,78.866,82.186,72.853,85.17,83.36,65.963,76.842,80.891,67.585,63.29,68.775,41.592,86.143,80.632,70.583,63.776,54.096,55.158,50.648,80.486,84.36,68.694,73.015,64.696,74.656,84.672,69.781,61.476,68.639,34.575,42.672,29.636,66.532,61.089,51.097,53.528,36.282,35.118,61.233,35.39,47.971,65.478,60.097,54.715,53.859,50.648,44.769,33.036,88.655,68.421,66.586,69.312,75.02,53.771,66.476,6.911,12.195,29.431,51.463,87.766,61.957,65.582,15.951,14.213,10.66,17.766,11.168,22.843,5.076,22.843,3.553,2.538,15.736,8.629,0.508,3.046,5.584,24.365,6.599,15.228,14.721,14.721,4.569,13.117,15.432,13.58,37.654,32.716,1.235,41.975,41.975,24.691,41.358,35.802,26.543,4.321,4.938,12.963,20.988,17.901,1.235,51.553,13.665,28.571,24.224,6.832,1.863,1.242,1.242,4.348,3.727,1.242,4.348,46.25,15.924,41.25,70,43.243,51.668,56.235,49.267,38.418,56.864,62.033,11.22,74.33
H01,South West England,1458,63.577,75.758,80.864,71.752,81.23,60.682,78.129,70.882,39.666,51.841,28.972,71.178,88.332,81.649,78.792,55.731,74.28,79.767,81.962,73.301,87.276,83.849,66.324,79.41,81.332,69.41,66.529,70.713,39.423,85.254,83.585,74.829,65.385,57.378,62.157,57.761,82.074,86.058,70.151,74.194,64.678,74.038,85.43,68.11,62.448,70.576,39.19,47.188,32.647,68.244,62.732,53.159,55.082,35.896,38.477,63.918,36.47,52.577,67.399,65.134,51.307,55.319,52.096,47.769,32.305,89.643,71.056,72.115,68.428,74.554,56.319,70.021,7.084,11.623,30.605,50.688,88.687,57.826,68.823,16.118,25.106,8.936,25.106,6.809,27.66,4.681,22.128,3.404,4.255,20.851,9.787,4.255,2.128,8.085,25.957,5.532,14.894,17.447,16.17,1.277,12.62,20.109,9.239,32.609,38.587,1.087,39.674,38.043,21.739,36.957,38.587,26.087,4.348,4.348,11.413,22.283,18.478,2.174,49.457,13.043,29.891,22.826,3.804,3.261,2.717,4.891,4.348,3.261,2.174,4.348,46.739,17.582,40.437,61.202,46.512,53.517,56.207,49.931,38.674,60.014,64.118,12,75.258
H01,West Midlands (England),820,64.18,71.083,82.195,70.445,80.528,57.886,77.195,72.146,39.268,53.009,29.613,70.764,85.488,77.628,73.961,50.858,67.399,81.463,83.007,72.161,82.906,80.539,66.87,77.411,78.78,69.193,65.483,69.939,41.076,86.463,82.13,73.016,64.835,56.341,57.772,52.567,79.976,84.493,67.482,76.707,67.277,74.39,84.86,71.673,64.347,70.33,37.561,44.756,35.488,69.438,62.882,54.89,55.936,42.543,39.805,62.623,37.607,51.648,67.075,63.203,56.235,56.41,53.846,49.206,35.287,87.439,66.829,70.416,71.638,78.632,61.567,68.143,6.732,13.341,28.152,51.775,86.46,63.93,67.04,15.976,14.504,7.634,27.481,9.16,20.611,0.763,19.847,1.527,3.053,20.611,5.344,0.763,4.58,7.634,20.611,7.634,19.847,12.214,17.557,8.397,12.927,16.346,15.385,33.654,28.846,1.923,38.462,40.385,25,46.154,33.654,28.846,9.615,5.769,14.423,20.192,25,2.885,50.943,10.377,33.019,23.585,3.774,0.943,1.887,1.887,0.943,0.943,4.717,6.604,40.566,15,47.059,58.252,46.512,52.083,56.335,48.403,35.951,57.335,61.444,10.429,75.336
H01,Yorkshire and The Humber (England),995,62.482,74.628,82.513,71.997,81.776,60.201,80.042,73.353,40.67,53.624,28.062,70.765,87.437,79.658,75.681,54.179,76.08,80.302,84.724,74.975,86.821,82.276,67.271,78.693,82.093,69.929,66.7,72.133,38.995,86.62,83.77,74.874,66.231,57.1,63.343,54.07,82.412,87.009,71.717,79.053,68.141,75.755,86.62,71.4,65.996,72.161,38.995,46.432,36.583,71.457,63.746,56.149,56.754,39.899,38.894,65.861,38.33,51.61,59.196,63.719,51.006,54.93,53.266,49.045,34.07,88.016,71.831,72.233,70.191,79.698,64.121,71.169,8.174,12.311,29.263,50.252,92.121,67.105,71.675,14.573,11.034,11.724,23.448,6.207,17.931,0.69,22.759,0,2.759,26.207,3.448,3.448,0.69,7.586,23.448,6.897,17.241,17.241,15.172,4.138,13.065,10.769,11.538,24.615,30,0,33.077,43.077,22.308,39.231,32.308,23.846,6.923,9.231,10,13.846,13.077,3.077,42.308,12.308,25.385,30,0.769,0,0,2.308,1.538,0,3.846,11.538,38.462,14.961,44.615,71.538,34,51.724,57.157,49.643,37.907,54.242,61.919,11.258,78.182
H01,Scotland,1589,64.183,73.609,83.858,73.31,81.833,57.042,79.688,73.044,43.759,53.323,28.155,71.157,87.406,79.358,75.945,52.393,73.002,83.008,84.698,76.778,87.099,82.872,69.27,79.421,83.7,70.228,69.716,73.724,40.164,88.224,83.7,73.568,60.957,51.42,63.091,52.771,84.267,86.398,71.177,76.967,67.023,74.622,86.407,72.177,66.163,71.771,43.424,50.031,37.823,68.892,65.176,54.161,57.026,38.917,41.284,66.415,36.941,51.164,65.743,65.743,51.861,57.287,52.678,47.514,30.284,89.295,68.156,70.536,67.841,77.47,56.738,69.59,7.697,11.167,27.886,53.249,92.989,66.348,73.308,12.083,15.625,9.375,21.875,5.208,14.583,1.042,27.083,2.604,1.042,20.313,4.167,1.042,2.083,4.688,17.708,4.167,18.229,18.75,13.542,4.688,11.776,15.508,8.556,26.203,37.433,1.604,43.85,52.941,26.738,38.503,47.059,21.925,3.209,3.743,10.695,17.112,12.299,0,47.312,11.29,30.645,25.806,6.452,1.613,1.613,2.151,2.688,1.613,2.151,5.914,44.92,17.935,47.059,70.27,27.381,52.411,57.351,48.479,35.234,57.495,62.049,10.24,75.095
H01,Wales,1191,63.801,71.276,82.662,73.222,83.067,58.942,79.758,72.842,40.364,53.567,27.998,70.516,85.642,78.517,73.822,50.882,67.731,82.536,82.788,74.475,85.882,82.323,70,78.133,84.286,72.521,67.929,71.597,44.949,88.833,84.635,75.735,66.163,55.462,59.428,54.744,82.536,89.048,69.276,78.319,68.881,75.714,85.786,72.559,63.667,70.613,37.815,48.612,34.706,70.168,62.605,56.087,54.752,41.058,42.233,65.042,39.31,51.008,65.265,67.764,49.452,56.939,54.377,47.267,36.057,87.815,68.155,70.84,69.807,79.244,61.564,68.074,6.987,9.764,28.283,54.966,91.201,66.582,68.825,14.634,14.368,12.644,25.862,5.172,18.391,4.598,20.69,3.448,2.299,28.161,6.897,1.724,1.724,6.322,21.264,5.172,14.368,13.218,16.092,5.172,12.175,20,7.586,37.931,35.172,0.69,42.759,47.586,24.828,42.759,41.379,31.034,4.828,6.207,10.345,22.759,15.862,0.69,53.103,16.552,31.034,20.69,3.448,0.69,0,0.69,4.138,2.759,1.379,8.966,41.379,15.862,47.222,61.379,33.333,48.559,54.592,45.37,33.815,52.445,59.612,12.68,74.327
H01,Northern Ireland,71,62.5,67.324,78.873,70.563,81.69,60.211,74.296,69.953,27.7,45.638,31.734,73.099,85.915,77.465,74.648,43.662,54.93,76.056,81.69,77.465,85.915,81.69,67.606,78.873,77.465,70.423,64.789,61.972,39.437,91.549,87.324,66.197,70.423,54.93,61.972,53.521,78.873,87.324,57.746,73.239,60.563,73.239,83.099,66.197,64.789,71.831,25.352,35.211,22.535,67.606,61.972,51.429,53.521,39.437,28.169,52.113,21.127,35.211,64.789,62.857,46.479,59.155,54.93,32.394,25.352,85.915,54.93,71.831,66.197,74.648,64.789,70.423,7.042,12.676,19.718,60.563,95.588,66.176,69.118,14.085,30,20,20,0,30,0,40,10,0,40,10,0,10,10,40,20,0,20,10,0,15.493,27.273,0,45.455,27.273,0,27.273,36.364,27.273,36.364,45.455,9.091,9.091,0,0,36.364,9.091,9.091,40,0,40,30,0,0,0,0,0,0,0,0,54.545,20,80,40,[c],61.972,61.972,61.972,42.254,69.014,70.423,8.451,67.606
H01,Outside of the United Kingdom,681,69.038,80.925,81.645,74.412,82.526,60.206,80.433,75.453,39.305,58.6,27.633,74.709,93.382,83.8,83.529,65.385,78.267,78.708,84.581,76.029,81.121,84.218,70.294,77.827,83.628,73.382,75.664,72.754,49.19,83.824,83.382,80.323,66.274,61.176,51.982,61.233,82.596,85.588,75.516,77.974,75.258,79.559,91.324,74.336,63.476,68.778,39.853,44.64,33.333,75.184,70.294,58.407,62.242,47.647,44.543,69.31,46.109,53.529,76.436,71.324,59.618,63.623,60.972,56.701,45.441,89.721,74.853,73.156,69.265,77.647,49.118,68.852,7.386,12.112,32.349,48.154,76.621,55.204,66.514,13.402,20.879,4.396,4.396,8.791,21.978,4.396,32.967,7.692,7.692,7.692,8.791,3.297,4.396,0,15.385,8.791,7.692,9.89,16.484,10.989,15.022,16.667,15.686,24.51,40.196,1.961,36.275,39.216,22.549,27.451,33.333,29.412,2.941,1.961,9.804,15.686,22.549,7.843,39.216,16.667,29.412,28.431,2.941,12.745,7.843,1.961,5.882,3.922,2.941,8.824,45.098,12.871,29.412,55.882,30.435,61.63,66.024,61.185,37.574,72.794,76.912,9.412,73.382
H02,Less than 1 year,5252,68.888,78.182,84.216,76.449,85.549,66.232,84.969,73.954,46.625,61.16,24.844,73.434,91.013,82.113,79.878,60.221,77.615,82.54,85.891,80.198,88.679,87.037,72.091,84.803,86.057,73.794,73.305,76.359,42.162,89.634,86.69,80.301,69.295,61.298,72.372,61.88,89.147,91.117,79.108,80.511,71.467,74.267,85.453,75.553,66.057,70.922,47.133,50.972,41.779,78.087,72.998,60.527,67.952,48.065,45.985,72.33,46.014,58.368,73.938,74.919,52.851,64.633,62.429,58.295,31.243,91.389,76.306,76.489,73.571,80.122,61.411,80.214,3.689,12.5,39.622,44.19,89.936,57.9,74.731,9.626,21.23,7.54,22.619,9.127,22.619,4.167,31.746,4.96,1.389,22.817,6.746,1.786,1.984,4.96,17.659,8.532,12.897,10.913,14.087,3.373,9.619,16.667,11.905,25,38.889,0.794,43.056,50.992,30.754,37.698,39.087,30.754,5.357,2.579,12.302,19.246,14.683,1.19,40.594,17.228,33.267,26.139,4.752,7.525,1.584,3.564,2.178,0.99,1.782,4.356,45.149,16.834,57.171,57.685,33.772,54.646,59.789,49.885,33.129,58.515,66.915,11.187,78.828
H02,1 year but less than 3 years,5776,63.352,73.678,81.553,73.102,81.7,58.847,79.431,71.653,38.165,53.635,28.787,70.729,87.132,78.981,74.614,54.41,73.177,80.436,82.664,75.649,87.042,84.926,67.268,79.203,83.752,70.13,68.632,73.626,40.749,86.944,82.981,75.182,63.41,55.373,61.162,55.482,83.489,86.835,70.725,76.702,67.821,74.983,86.874,72.216,59.851,68.133,37.236,44.918,32.335,72.445,65.286,53.417,56.761,38.122,39.861,66.453,38.156,52.234,65.644,65.818,51.301,54.506,51.464,49.098,37.671,88.589,70.718,71.825,69.896,77.316,62.708,70.908,8.082,15.557,34.27,42.092,90.949,61.574,69.541,12.717,19.945,7.787,21.175,11.612,24.454,2.869,28.142,4.645,3.142,20.765,8.06,1.913,2.186,5.738,22.541,9.836,12.432,12.022,14.617,3.825,12.818,17.703,12.027,30,37.568,0.946,42.432,50.27,28.649,35.946,36.486,29.595,3.919,2.973,11.081,15.811,17.568,1.216,47.626,12.212,31.343,27.68,4.885,2.578,2.307,2.442,3.664,2.442,2.849,4.885,45.455,17.68,43.443,66.485,32.635,51.739,57.307,49.477,35.642,57.887,63.872,10.553,77.631
H02,3 years but less than 5 years,2263,59.964,73.092,81.639,69.632,81.065,52.206,73.892,70.023,31.404,47.984,30.757,70.134,86.82,80.159,74.446,52.324,71.751,80.513,82.759,71.542,84.49,81.947,65.767,75.033,78.372,67.199,62.788,67.168,41.91,86.428,83.621,73.133,60.937,48.297,52.083,47.457,76.359,83.112,63.584,72.514,65.296,73.596,87.445,68.924,59.045,65.871,30.402,37.843,25.983,65.65,58.902,49.248,49.072,33.673,33.289,59.682,35.869,46.681,59.602,56.314,51.307,49.823,47.678,44.449,38.638,87.047,65.959,67.816,67.683,75.508,62.953,63.16,11.293,15.102,29.052,44.553,91.868,70.802,65.352,17.905,15.062,8.395,21.481,9.877,19.506,2.222,24.198,4.198,2.963,22.222,7.16,1.975,3.704,5.926,18.025,8.148,17.778,19.259,17.037,5.432,14.98,15.339,9.44,36.283,38.938,1.77,41.298,42.478,26.254,43.068,39.528,29.204,4.425,5.015,11.209,17.699,14.159,1.475,48.817,13.609,32.544,29.29,3.846,1.775,0.888,1.183,2.959,1.775,3.254,4.438,46.154,13.595,38.922,71.642,42.949,49.088,55.14,48.394,38.318,57.738,61.569,11.042,74.413
H02,5 years but less than 10 years,1434,58.012,70.096,78.208,66.455,78.173,46.67,70.903,69.086,28.196,45.209,32.374,68.616,83.031,78.206,71.748,49.686,68.061,76.709,79.818,66.806,81.831,78.356,61.286,72.327,76.971,65.852,58.613,63.497,38.768,83.752,79.986,70.81,58.269,43.706,44.794,39.804,72.956,81.399,60.014,69.247,63.643,73.203,85.126,66.364,59.777,66.457,27.723,33.031,23.849,62.081,55.455,46.96,45.601,31.936,30.544,56.324,32.612,45.658,54.888,51.153,51.854,46.919,44.095,41.841,37.544,84.368,62.945,60.712,64.056,71.947,58.13,60.295,12.535,13.095,24.93,49.44,91.483,71.357,62.34,19.944,16.783,11.189,23.077,11.538,18.881,2.098,22.028,4.895,2.448,21.678,10.839,1.748,2.797,6.294,18.881,7.692,17.133,17.483,16.783,7.343,14.724,17.619,12.381,35.238,38.095,7.143,39.048,47.619,30.476,48.095,43.81,27.619,4.762,6.19,12.857,20.476,20,3.81,49.289,12.796,34.597,36.967,3.791,0.948,0,2.37,4.739,2.844,3.791,10.9,39.234,9.662,32.701,71.429,54.878,49.859,55.689,48.622,37.88,58.439,60.563,12.245,70.766
H02,10 years or more,1538,57.066,69.779,78.711,65.831,77.669,47.197,71.584,69.599,30.254,43.86,32.541,69.535,84.71,78.511,74.038,47.747,63.826,76.156,81.25,66.645,80.039,76.044,62.565,70.228,77.51,64.725,58.372,61.162,40.654,83.279,79.805,69.902,59.856,44.256,44.67,39.791,73.681,80.927,60.889,70.898,63.257,74.004,85.957,64.052,61.911,68.143,29.297,34.853,26.45,57.84,52.995,45.401,44.133,33.594,30.418,56.217,32.464,41.161,51.008,47.135,52.313,46.615,43.09,40.574,34.181,84.204,58.958,59.634,63.927,72.248,55.287,57.444,11.097,10.571,18.188,60.144,90.112,72.266,62.368,18.111,19.928,16.304,22.464,10.87,10.507,2.174,21.739,4.348,3.986,20.652,14.13,1.087,4.348,7.971,19.565,7.609,18.116,23.188,19.565,5.435,14.723,13.274,9.292,31.858,34.956,2.655,40.708,42.035,23.009,39.381,38.496,21.239,7.522,6.637,10.619,20.354,16.372,4.425,42.478,5.752,30.088,31.416,4.867,0.442,1.77,0,2.212,1.327,4.425,10.177,36.726,13.122,32.143,69.778,38.554,52.403,56.785,50.725,41.041,60.235,60.955,10.23,68.345
