"Demographic variable [1, 5, 6]",Response,Count,ees [2],mw_p [3],op_p [3],lm_p [3],mt_p [3],ld_p [3],if_p [3],rw_p [3],pb_p [3],lc_p [3],HSE_index,PERMA_index,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,B56,B57,B58,B59,B60,C01_1,C01_2,C01_3,C01_4,D01,D02,D03,E01 [4],E02_01,E02_02,E02_03,E02_04,E02_05,E02_06,E02_07,E02_08,E02_09,E02_10,E02_11,E02_12,E02_13,E02_14,E02_15,E02_16,E02_17,E02_18,E02_19,E02_20,E03 [4],E03A_01,E03A_02,E03A_03,E03A_04,E03A_05,E03A_06,E03A_07,E03A_08,E03A_09,E03A_10,E03A_11,E03A_12,E03A_13,E03A_14,E03A_15,E03A_16,E03A_17,E04_01,E04_02,E04_03,E04_04,E04_05,E04_06,E04_07,E04_08,E04_09,E04_10,E04_11,E04_12,E05,E06_A,E06_B,E06_C,E06_D,W01,W02,W03,W04,J04B,W05,W07,W08
J04F,Agree,24276,60.233,74.153,83.842,71.861,83.174,52.827,78.158,72.409,32.446,48.504,30.332,70.162,88.75,82.935,76.985,51.833,70.266,82.362,85.322,74.638,89.711,83.169,68.54,78.625,82.944,69.495,64.219,68.021,39.243,88.481,84.962,76.106,65.824,49,53.145,43.336,80.995,87.529,67.388,76.715,67.86,77.367,85.619,69.869,63.21,70.531,31.306,38.681,27.382,66.319,60.386,51.883,50.281,35.02,31.6,63.822,32.781,44.48,58.143,54.789,52.268,49.496,46.282,45.144,34.261,89.937,65.449,67.751,66.357,79.134,62.303,68.358,6.37,10.902,27.225,55.503,93.621,71.659,69.822,13.44,14.966,13.368,28.519,8.267,10.817,0.061,17.179,2.551,0.768,20.959,7.959,0.953,2.305,1.967,0.4,3.688,17.916,19.484,17.763,6.515,10.942,9.256,3.098,24.292,35.776,0.453,36.645,40.008,22.063,35.21,34.794,21.08,3.211,3.249,7.934,16.283,17.227,2.72,43.025,9.439,27.104,25.891,5.8,1.668,1.289,0.986,1.895,1.365,3.753,8.226,44.086,15.844,48.309,59.909,33.162,47.572,56.834,45.218,34.229,50.869,47.374,9.135,75.925
J04F,Strongly agree,19815,71.6,84.686,90.128,88.349,92.142,68.106,90.145,84.005,39.719,63.717,19.656,78.42,94.508,89.273,87.477,69.642,82.525,88.984,91.272,92.452,97.74,95.22,87.915,94.345,95.043,88.367,85.79,87.791,58.783,94.431,92.772,89.239,79.604,64.704,67.963,60.163,93.078,94.692,85.266,87.531,82.547,89.397,92.885,81.552,75.578,82.046,37.98,47.856,33.345,78.647,75.158,66.662,66.913,51.791,46.696,76.9,49.229,61.497,73.273,72.708,67.926,69.044,66.081,62.215,53.368,96.111,82.398,81.019,79.715,88.958,71.684,85.016,3.347,6.766,21.288,68.598,95.042,78.715,81.527,7.789,14.016,9.452,29.14,11.995,10.039,0.13,18.905,2.608,0.717,16.558,8.083,0.913,2.803,2.216,0.652,4.628,13.885,15.645,18.774,4.954,7.36,9.629,4.47,27.51,36.451,0.894,34.594,34.732,17.469,28.817,32.118,21.32,2.82,2.889,7.497,15.681,16.988,2.27,47.278,11.854,18.263,22.674,7.236,2.481,0.965,1.723,1.378,1.309,2.55,6.754,52.99,28.252,58.374,47.626,26.008,62.348,70.319,58.291,42.885,62.397,52.237,7.417,89.96
J05,Carer for others,55720,64.141,77.831,85.326,72.336,83.876,56.133,78.963,73.98,33.788,52.797,28.067,73.731,91.343,85.65,81.14,58.193,72.817,83.976,86.675,74.406,86.192,82.074,70.624,78.023,81.346,70.94,66.536,69.172,44.012,88.282,85.575,77.802,67.479,52.987,55.805,48.262,80.505,87.209,70.322,77.772,70.404,79.105,87.207,72.403,64.167,70.557,32.888,40.046,28.441,68.767,63.423,56.212,54.937,40.873,36.67,66.775,38.688,48.863,63.599,59.332,58.503,56.013,52.783,50.718,41.203,89.922,67.877,69.534,68.815,79.934,65.783,70.396,6.215,9.56,24.366,59.859,93.107,74.638,72.127,12.223,15.906,21.487,16.981,12.946,11.443,0.118,22.239,3.417,1.252,15.11,10.913,1.075,3.756,2.563,0.545,5.258,19.72,22.003,19.661,7.01,10.318,9.33,2.93,26.875,37.775,0.785,38.263,44.594,24.747,40.426,36.798,25.253,3.54,7.412,9.592,13.097,17.074,3.139,39.229,9.299,33.292,29.072,5.412,1.436,0.981,1.611,2.154,1.419,2.89,9.667,41.633,15.099,40.267,61.961,36.249,55.308,65.724,53.864,41.383,64.522,64.443,5.783,76.279
J05,Not a carer,200406,65.85,78.958,84.556,74.53,84.82,59.722,82.91,76.654,40.115,56.218,26.028,74.725,91.22,84.586,80.587,61.756,76.6,82.954,86.155,76.71,87.632,85.168,71.206,81.326,84.059,71.72,69.257,73.525,44.618,89.08,86.164,79.218,69.668,54.319,61.4,53.472,85.644,89.971,74.375,81.638,73.748,80.062,89.058,75.621,66.923,74.498,39.673,46.573,34.111,71.91,67.372,57.709,59.881,43.243,39.939,69.839,42.231,53.811,67.98,65.778,56.48,58.475,55.676,53.43,39.332,91.893,72.98,73.949,73.055,82.807,60.356,74.231,4.87,10.171,28.595,56.365,90.793,67.727,76.077,7.635,16.128,10.35,12.206,12.291,14.764,0.085,23.119,3.128,1.495,11.137,9.353,2.112,2.663,2.761,0.649,5.024,15.813,18.168,20.148,7.254,6.82,9.766,4.215,24.958,38.674,0.676,37.528,43.652,23.739,36.155,34.21,24.282,2.445,3.172,7.504,9.898,14.92,2.489,40.861,10.105,31,25.092,5.325,2.146,1.276,1.733,1.719,1.003,2.604,8.209,43.422,17.291,44.603,58.115,30.598,62.752,69.938,60.428,47.061,72.767,73.485,4.888,78.857
J06,Has childcare responsibilities,91840,66.93,80.654,85.971,75.142,85.982,60.058,82.616,76.252,39.094,57.091,25.985,75.648,92.598,86.603,82.345,63.994,77.701,84.422,87.519,77.358,88.548,85.706,73.059,81.658,83.544,72.194,70.088,72.666,46.504,89.643,87.228,81.086,69.035,55.111,61.255,54.809,84.692,89.706,74.295,81.752,74.04,80.723,89.278,75.307,65.423,72.706,38.401,45.954,32.949,72.827,67.96,59.309,60.736,43.937,41.166,70.341,43.577,53.91,69.785,66.782,61.065,60.328,57.529,55.007,42.551,91.61,73.148,74.456,73.127,83.095,61.872,74.475,4.404,8.234,25.251,62.112,91.657,71.236,76.364,9.335,9.533,26.233,11.325,12.765,12.519,0.117,21.794,3.361,1.686,11.875,9.802,3.876,2.939,2.576,0.644,4.942,17.321,26.197,18.55,7.202,7.477,10.069,3.234,27.426,40.056,0.702,38.709,46.056,24.221,38.431,34.86,24.791,3,7.464,8.43,10.962,14.928,2.883,38.745,9.932,33.059,28.651,5.76,1.646,1.058,1.822,1.837,1.102,2.615,8.11,42.645,15.359,41.51,59.522,34.738,63.239,72.779,60.985,45.265,71.446,71.759,3.9,78.694
J06,No childcare responsibilities,167842,64.611,77.502,83.964,73.377,83.768,58.159,81.564,75.785,38.346,54.391,26.821,73.78,90.428,83.752,79.625,59.159,74.512,82.412,85.513,75.492,86.532,83.734,69.895,79.944,83.368,71.163,67.834,72.417,43.328,88.42,85.289,77.606,69.102,53.322,59.392,50.796,84.273,89.058,72.823,80.085,72.237,79.254,88.188,74.52,66.631,73.867,37.9,44.498,32.645,70.213,65.534,56.123,57.543,41.912,37.985,68.308,40.111,51.795,65.389,62.822,54.475,56.478,53.52,51.455,38.039,91.317,70.963,72.029,71.332,81.52,61.23,72.717,5.605,11.051,29.049,54.294,91.108,68.112,74.448,8.265,20.257,5.95,15.182,12.42,14.553,0.094,23.576,3.159,1.265,12.89,9.774,0.484,3.094,2.733,0.586,5.169,16.765,15.103,20.951,7.287,7.658,9.493,4.134,24.54,37.574,0.718,37.465,42.738,23.729,36.927,35.055,24.321,2.613,2.754,8.128,10.952,15.858,2.613,41.5,9.911,30.829,24.984,5.085,2.084,1.316,1.645,1.896,1.136,2.656,8.986,42.917,17.294,44.064,58.92,31.121,59.655,66.657,57.571,45.817,70.393,71.131,5.79,77.873
J07,Heterosexual/straight,265021,65.258,78.354,84.49,73.686,84.292,58.526,81.546,75.703,38.313,55,26.724,74.324,91.052,84.581,80.354,60.502,75.251,82.934,86.043,75.843,86.932,84.086,70.718,80.182,83.106,71.256,68.307,72.099,44.268,88.636,85.742,78.509,68.783,53.705,59.681,51.918,83.999,88.964,72.9,80.303,72.571,79.547,88.406,74.546,65.949,73.181,37.772,44.666,32.511,70.811,65.994,56.94,58.263,42.359,38.842,68.651,41.024,52.091,66.617,63.842,56.568,57.535,54.626,52.312,39.358,91.181,71.285,72.492,71.568,81.725,61.308,72.919,5.282,10.119,27.682,56.917,91.229,69.147,74.73,8.835,16.16,13.554,13.73,12.667,13.644,0.099,22.883,3.261,1.418,12.5,9.89,1.744,3.064,2.687,0.617,5.129,17.012,19.219,20.021,7.812,7.753,9.832,3.834,25.711,38.478,0.723,37.931,44.031,23.962,37.819,35.152,24.695,2.799,4.445,8.357,11.048,15.678,2.975,40.422,9.845,31.832,26.294,5.215,1.933,1.202,1.707,1.874,1.143,2.693,9.051,42.447,16.269,42.399,59.167,32.675,60.716,68.614,58.591,45.466,70.582,71.188,5.175,77.791
J07,Gay or Lesbian,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c]
J07,Bisexual,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c]
J07,Other,[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c],[c]
J08,No religion,113402,63.514,77.172,82.807,73.355,83.956,57.771,81.87,74.504,39.768,54.475,26.817,73.073,89.811,82.854,77.719,59.438,76.01,81.141,84.471,75.357,88.068,85.23,69.242,80.733,83.372,70.255,67.056,72.741,41.439,88.52,85.291,78.062,66.852,51.893,60.805,51.517,85.177,89.489,72.389,80.407,70.796,77.586,87.873,73.226,64.83,72.706,39.311,46.498,33.502,70.974,65.906,54.9,57.948,40.325,37.939,67.891,40.545,53.814,63.847,63.229,51.747,54.283,51.876,50.952,36.211,91.124,73.005,73.158,72.469,81.496,58.946,73.101,5.65,11.071,30.497,52.781,91.282,66.175,74.765,8.057,16.793,13.544,13.654,6.201,16.453,0.088,22.972,2.261,1.438,13.884,9.659,2.437,0.955,3.26,0.626,5.301,17.572,18.878,19.866,6.3,7.134,10.169,5.072,25.248,37.488,0.769,37.202,44.32,24.678,35.801,34.536,24.504,2.493,3.571,7.726,11.322,14.844,2.282,41.239,10.518,29.542,26.437,4.905,1.95,1.254,1.763,2.037,0.956,2.62,7.873,41.654,16.065,43.767,61.951,30.663,58.337,65.204,55.744,44.796,67.675,70.576,5.658,78.581
J08,Christian,122136,66.67,80.28,86.372,74.704,85.518,59.82,82.715,77.199,38.673,56.043,26.076,75.806,92.718,86.811,83.326,62.422,76.099,84.996,87.746,76.822,87.259,84.26,72.749,80.818,83.936,72.654,69.385,72.838,46.239,89.573,87.013,79.988,71.35,55.368,59.905,52.642,84.669,89.62,74.525,82.022,74.604,81.691,89.252,75.811,67.309,74.512,37.956,45.263,32.815,71.303,67.231,59.414,59.314,43.817,39.307,69.984,41.793,52.241,68.726,64.313,60.882,60.118,56.798,54.241,42.568,91.826,71.775,73.407,72.862,83.83,63.78,74.32,4.621,8.9,24.987,61.492,92.52,73.414,76.619,8.512,16.255,13.436,13.977,11.293,11.573,0.097,21.718,3.098,1.255,11.149,10.058,1.216,2.075,2.297,0.598,4.431,17.278,19.566,20.656,7.847,7.508,8.621,2.757,24.592,39.339,0.591,37.961,42.61,23.258,36.67,34.712,23.63,2.396,4.113,7.734,9.911,15.863,3.041,39.281,9.416,31.614,25.839,5.973,2.112,1.232,1.496,1.804,1.21,2.717,9.097,43.353,17.701,43.678,57.203,31.582,63.612,72.439,61.713,47.064,72.999,72.304,4.498,78.84
J08,Buddhist,1170,67.943,78.808,83.675,73.888,81.937,59.309,79.046,76.767,36.473,57.248,27.169,74.284,90.598,84.635,80.551,62.414,75.706,82.137,85.201,76.496,82.378,82.676,72.198,78.974,82.62,70.24,71.575,70.103,51.411,86.57,82.62,76.667,67.237,59.846,55.308,54.872,79.555,84.859,73.202,78.547,71.318,79.88,88.851,74.936,69.759,75.856,37.243,42.331,29.88,71.38,64.897,59.434,59.126,47.945,44.045,70.24,47.382,50.686,71.49,65.981,62.715,62.896,61.473,56.935,43.482,88.87,67.438,70.009,67.639,80.805,61.565,69.177,4.991,9.897,28.055,57.057,85.822,66.071,70.621,11.482,17.91,11.194,18.657,18.657,8.955,0,28.358,5.97,1.493,17.91,10.448,0,1.493,3.731,0.746,5.97,14.179,20.149,14.179,5.224,10.274,7.5,3.333,33.333,40.833,0,34.167,49.167,20,39.167,37.5,21.667,5.833,8.333,8.333,15,20,0.833,41.88,6.838,38.462,28.205,3.419,1.709,1.709,5.128,4.274,1.709,2.564,6.838,42.017,12.069,31.092,60.169,42.857,61.835,68.933,59.38,45.086,73.242,74.485,5.155,73.031
J08,Hindu,3955,71.745,81.278,87.206,75.896,84.977,64.294,81.431,79.732,33.11,60.212,25.586,75.304,92.74,86.951,83.881,66.548,76.045,85.392,89.01,78.852,84.483,83.499,74.295,79.762,82.818,74.924,76.819,71.777,51.474,87.905,86.312,80.756,73.419,62.383,61.966,59.168,81.807,88.286,77.362,78.11,78.609,83.524,89.886,80.823,70.563,74.778,32.978,36.843,29.379,73.817,67.309,61.671,63.011,53.415,49.024,73.768,48.756,50.749,79.124,75.051,66.15,69.606,66.228,58.977,48.197,92.79,69.001,71.083,64.984,77.8,66.963,71.279,4.03,8.948,26.565,60.456,84.279,64.606,70.574,9.625,12.997,11.936,9.019,40.584,9.019,0,33.422,7.692,0.796,7.427,9.019,2.122,5.305,1.326,0.265,5.305,16.446,15.65,19.363,8.488,7.268,11.93,0.702,29.123,37.193,0,38.246,49.474,21.404,49.123,36.491,30.877,2.456,7.368,8.421,10.175,16.842,3.509,39.649,8.07,40.351,26.316,4.561,1.404,0.702,1.754,1.404,1.754,1.404,10.877,47.038,16.549,38.246,53.846,39.259,61.701,70.086,61.971,41.082,79.686,74.36,4.902,75.557
J08,Jewish,918,65.269,78.027,79.031,71.064,83.696,54.748,81.255,73.261,36.02,54.311,27.562,73.939,91.494,81.55,80.394,59.32,77.342,76.906,81.155,73.42,86.914,83.716,64.052,79.039,82.334,66.957,64.153,70.229,39.672,87.908,85.574,77.754,64.629,51.204,54.973,48.14,84.842,88.852,73.523,77.838,72.004,74.345,88.319,73.77,63.725,67.32,36.096,40.83,31.264,72.985,66.885,52.832,59.672,39.76,34.973,68.231,40.502,52.729,71.024,65.502,57.424,55.738,52.017,55.229,36.831,90.622,71.351,69.138,69.902,78.758,62.336,72.38,5.495,16.374,39.451,38.681,90.198,60.683,69.956,10.675,24.49,12.245,12.245,15.306,18.367,0,34.694,3.061,2.041,10.204,7.143,3.061,14.286,2.041,1.02,3.061,19.388,18.367,17.347,3.061,10.893,11,8,28,35,1,39,46,25,39,46,31,2,5,12,11,12,1,41,10,42,27,4,2,2,0,3,4,3,6,51.02,20.202,42,61,32,57.409,66.046,57.033,40.197,71.429,70.788,5.027,76.092
J08,Muslim,8790,71.264,76.988,85.18,75.206,82.77,60.47,79.416,78.837,33.555,58.545,26.53,74.855,90.219,82.639,81.451,61.027,69.479,83.142,87.221,78.857,81.954,80.949,72.778,78.904,81.39,73.977,75.901,71.229,55.975,87.154,84.269,76.873,68.808,58.286,58.496,56.264,80.248,87.316,73.179,77.011,77.413,82.549,89.195,80.534,69.905,73.362,34.021,36.226,30.399,72.135,65.838,60.477,61.598,52.588,48.975,70.62,45.326,49.202,77.832,75.057,64.016,68.698,65.888,54.937,42.403,91.199,64.731,70.706,65.798,76.012,61.466,69.337,6.212,10.994,25.718,57.076,81.342,59.58,69.59,12.799,12.332,14.12,12.422,46.113,11.171,0.268,28.239,8.222,2.502,11.171,9.473,1.698,22.073,1.966,0.626,8.222,14.835,19.839,16.801,6.256,10.601,14.457,3.696,31.413,41.848,1.304,42.174,48.152,24.348,48.913,36.413,28.152,6.087,9.239,11.957,12.609,15.326,2.609,42.21,9.834,43.094,29.392,3.757,1.436,0.552,1.989,1.989,1.657,2.762,6.961,47.174,15.115,38.937,54.87,41.055,61.567,68.472,59.638,43.632,75.867,70.639,6.112,71.681
J08,Sikh,2027,68.021,78.513,86.482,74.934,82.388,59.18,78.379,76.862,30.357,56.243,27.534,74.409,91.264,84.49,83.069,61.851,71.901,84.896,88.099,78.638,84.995,83.581,74.232,79.625,82.725,73.7,73.909,70.074,47.676,85.742,84.125,77.295,69.758,56.444,58.189,52.245,79.368,86.864,72.898,74.346,74.741,81.105,86.402,77.927,68.119,72.853,30.094,33.366,27.641,72.458,63.915,58.771,59.001,47.605,44.225,69.683,43.034,47.553,73.396,67.556,59.941,65.499,61.938,51.234,41.136,90.967,65.235,67.854,63.834,75.518,64.476,70.609,5.583,9.338,27.125,57.955,85.665,64.399,69.403,12.136,12.195,17.886,10.976,41.463,13.415,0,26.423,4.878,1.626,12.602,9.35,0.813,6.911,1.22,0.407,6.504,13.008,17.48,19.919,9.35,9.373,9.474,3.684,28.421,42.105,0.526,36.316,45.263,19.474,37.895,31.053,26.316,4.211,8.421,7.368,14.737,14.737,2.632,42.553,9.574,32.447,29.787,7.447,0.532,1.064,2.128,0.532,1.064,3.723,11.17,47.368,15.426,46.842,52.632,44.444,61.527,69.975,61.023,42.638,74.308,68.379,5.302,72.368
J08,Any other religion,2321,61.64,72.707,81.228,69.814,80.013,52.629,73.476,71.261,32.155,48.892,30.174,71.449,86.972,79.827,74.567,52.811,69.34,79.172,83.261,72.68,83.405,79.455,66.047,75.777,78.257,68.774,63.759,65.701,44.382,85.073,81.865,73.112,62.958,49.74,51.751,46.028,75.852,82.879,65.093,70.073,66.681,74.903,85.801,69.74,63.739,66.624,31.191,38.056,27.308,66.12,58.737,50.411,49.913,38.515,34.097,62.7,35.699,43.844,59.724,56.055,52.445,52.775,49.395,45.47,33.966,86.448,63.433,64.378,66.681,74.191,58.333,65.263,8.735,11.43,25.467,54.368,88.74,67.144,65.323,17.479,17.822,16.584,20.297,15.347,16.337,0.248,22.277,5.446,1.733,21.535,12.624,2.228,5.941,3.713,1.238,6.683,15.347,21.535,23.515,7.921,15.002,14.697,4.323,33.718,37.464,2.017,43.516,49.568,31.7,43.804,40.634,29.683,4.611,6.628,14.697,20.461,21.614,2.017,48.406,10.725,38.261,26.377,3.768,1.159,1.449,2.609,2.319,2.319,2.899,6.087,42.029,12.798,38.04,65.396,45.205,54.206,61.816,52.148,41.562,63.526,60.64,9.74,72.794
S01,State selective,58149,65.216,78.562,85.204,73.908,84.865,58.675,82.059,76.075,38.371,55.103,26.475,74.703,91.263,85.035,80.811,60.613,75.077,83.636,86.766,76.127,87.438,83.967,71.14,80.475,83.432,71.607,68.164,72.409,44.24,89.277,86.382,78.951,69.423,53.831,60.023,51.419,84.543,89.332,73.467,80.879,73.104,79.748,88.536,74.842,66.27,73.908,37.821,44.596,32.708,70.794,66.089,56.852,57.982,42.557,38.691,69.175,41.101,52.692,65.855,63.1,57.464,57.713,54.804,53.124,40.382,91.064,71.498,72.646,72.519,82.452,63.037,73.317,5.422,10.732,28.204,55.641,92.541,71.076,75.39,8.952,19.002,13.837,14.203,9.771,13.374,0.096,22.008,2.178,1.233,12.257,9.482,1.445,2.891,2.447,0.578,4.664,17.402,20.235,20.081,7.092,7.679,9.16,3.323,25.303,38.056,0.651,38.392,42.681,24.225,36.125,35.047,23.574,2.851,4.243,7.634,10.485,15.402,2.537,40.19,10.115,31.113,26.033,5.577,1.829,1.016,1.558,1.761,0.971,2.371,8.083,43.469,16.94,43.681,60.266,31.393,61.033,69.367,59.057,45.673,70.681,70.856,5.117,78.626
S01,State non-selective,149916,65.215,78.787,84.955,74.326,84.832,59.138,82.474,76.055,39.618,55.587,26.425,74.236,91.17,84.942,80.637,60.951,76.208,83.467,86.441,76.329,88.02,85.065,71.38,81.17,83.737,71.922,68.708,73.055,43.817,89.17,86.258,79.077,69.464,53.791,60.986,52.291,85.073,89.734,73.462,81.612,72.83,79.968,88.3,74.744,66.367,74.116,38.954,46.37,33.546,71.371,66.738,57.836,58.908,42.322,39.038,69.501,41.308,53.248,66.526,64.473,56.517,57.581,54.665,52.504,39.154,91.778,72.543,73.705,72.279,83.012,61.677,74.051,5.004,9.423,26.819,58.754,92.224,69.709,76.127,8.336,15.626,13.965,14.454,11.196,13.82,0.08,22.376,2.592,1.413,13.154,9.775,1.958,2.978,2.801,0.618,5.297,17.44,19.502,19.848,7.055,7.298,9.31,3.794,25.108,38.266,0.641,38.193,44.232,23.88,37.643,35.389,24.439,2.767,4.224,8.412,11.445,15.358,2.557,41.428,9.803,31.505,26.02,5.586,1.718,1.286,1.792,1.902,1.084,2.637,8.278,42.309,16.454,44.267,59.416,32.645,60.547,68.275,58.171,45.708,69.492,70.171,5.192,78.742
S01,Independent with bursary,6424,65.809,81.5,83.904,74.887,86.086,58.965,83.416,73.593,39.753,56.564,25.707,75.276,93.32,86.198,81.767,65.226,80.994,82.158,85.654,77.279,88.454,87.625,71.125,82.531,84.782,70.022,67.918,74.313,44.86,89.941,87.449,80.854,67.004,55.084,59.473,54.238,86.816,90.376,76.843,79.617,72.808,77.999,89.7,72.862,60.83,67.342,40.542,46.048,32.674,74.128,69.276,55.21,61.649,39.38,38.4,69.958,44.417,56.653,69.242,65.274,57.136,57.377,53.928,57.804,42.058,91.075,75.448,72.571,75.152,81.576,62.793,75.786,5.421,12.904,34.76,46.915,93.379,68.043,76.26,8.258,21.172,15.312,15.501,12.476,23.062,0,26.276,2.647,2.079,12.287,9.452,1.89,3.781,3.781,0,7.372,15.501,18.336,18.904,6.049,7.756,10.463,4.427,24.547,42.052,0.604,40.04,44.869,29.175,36.419,36.62,33.803,1.811,4.225,4.829,8.652,14.085,2.616,38.71,11.694,29.839,29.032,5.645,3.831,1.21,2.419,1.21,1.613,3.226,6.048,43.002,13.402,44.512,62.777,33.649,59.859,68.419,56.606,42.835,71.21,72.006,5.075,80.817
S01,Independent no bursary,13024,66.789,81.773,84.293,74.662,85.798,59.497,84.172,75.038,39.836,57.263,25.35,75.517,93.186,85.927,82.978,65.508,81.25,82.382,86.208,77.833,88.545,87.181,69.687,82.927,84.588,70.296,68.507,74.196,42.77,89.945,86.743,80.722,68.155,54.395,61.479,53.977,87.723,90.964,77.323,80.687,74.205,78.473,89.713,74.886,63.583,69.392,40.456,45.759,33.326,74.574,69.901,56.532,62.578,40.712,39.511,70.559,44.423,56.479,70.786,67.617,57.284,59.072,56.493,57.132,40.249,91.84,75.061,74.286,74.738,82.351,59.738,76.713,4.993,12.382,35.368,47.257,92.56,64.332,75.609,7.628,16.953,11.604,13.017,14.329,19.173,0.101,24.117,2.926,1.312,10.696,7.467,1.715,1.816,2.825,0.303,5.146,13.32,16.751,20.383,7.467,7.289,7.903,3.267,21.496,41.623,0.738,39.621,47.102,27.081,34.563,34.563,25.079,2.002,4.004,7.692,10.327,16.228,2.424,38.08,9.81,32.806,26.477,5.063,4.325,1.371,1.582,1.16,0.949,3.376,8.333,43.717,15.252,41.277,59.979,32.203,61.428,70.205,59.149,44.743,73.042,74.533,4.619,80.96
S01,Other including abroad,15050,70.759,79.756,86.336,75.65,84.264,61.683,81.887,78.477,34.779,58.822,25.721,76.165,93.001,85.154,82.663,62.325,75.602,84.386,88.291,77.968,85.443,84.034,73.004,79.324,84.106,74.505,74.399,73.351,50.34,87.531,85.658,79.624,70.345,60.855,56.959,58.492,82.939,88.822,76.618,79.105,75.998,81.963,91.333,78.727,69.038,73.798,34.782,40.02,29.542,75.052,69.533,60.424,62.997,50.256,44.789,73.045,43.464,49.747,78.309,73.137,62.412,66.451,63.585,58.027,43.64,91.963,68.314,73.267,68.348,79.931,61.974,73.33,4.483,10.893,29.758,54.866,85.058,63.26,73.079,9.185,12.337,11.03,8.273,33.454,11.538,0.29,32.221,11.611,1.742,6.604,11.611,1.959,3.628,1.814,0.508,7.547,12.264,15.094,20.319,6.676,8.364,13.854,4.538,26.035,42.675,0.717,34.395,48.089,24.92,38.217,33.439,28.662,3.025,4.936,8.041,8.678,17.038,2.15,38.795,11.406,35.743,26.024,4.739,3.454,1.446,1.847,2.41,2.008,2.972,8.996,43.575,19.583,41.073,51.319,25.688,64.421,72.944,63.525,44.698,79.714,78.828,4.471,74.602
